,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
8/1/2021,66274.0314,67942.35893,66061.29164,67528.07625,145940,95088,2102
11/1/2021,67248.15553,67427.30479,65546.2375,65591.02482,171238,86291,2102
12/1/2021,65535.04068,65792.56774,64796.04996,65579.82799,103236,80357,2102
13/1/2021,65758.97726,66016.50433,65456.66287,65702.99311,56419,75673,2102
14/1/2021,65512.64702,65893.33921,65333.49775,65669.40262,46545,73188,2102
15/1/2021,65848.55189,66721.90456,65557.43433,65658.2058,65054,68516,2102
18/1/2021,65702.99311,66408.39334,65210.33263,66240.44091,67880,63838,2102
19/1/2021,66128.47262,66128.47262,65591.02482,65826.15823,42446,58559,2102
20/1/2021,65938.12652,66475.57432,65647.00897,66083.6853,38917,56418,2102
21/1/2021,65893.33921,66464.37749,65647.00897,66318.81871,40234,54190,2102
22/1/2021,66318.81871,66642.92484,65536.49358,65726.48683,143519,123912,2103
25/1/2021,65156.50709,66218.23405,65011.21814,66039.41688,156396,123697,2103
26/1/2021,65871.77578,66039.41688,65268.26783,65346.50034,113778,122937,2103
27/1/2021,65670.60646,66095.29725,65458.26107,65625.90217,94848,122378,2103
28/1/2021,65178.85924,65469.43714,64396.53411,64552.99914,229939,126308,2103
29/1/2021,64474.76662,65335.32427,64161.83657,64318.3016,177119,122149,2103
1/2/2021,64675.93594,65212.38746,64016.54762,64720.64024,163881,117638,2103
2/2/2021,64586.52736,64720.64024,63994.19547,64038.89977,114326,117673,2103
3/2/2021,63893.61082,64240.06909,63547.15254,63703.61757,136494,113563,2103
4/2/2021,64150.6605,64765.34453,63960.66725,64620.05558,118813,105705,2103
5/2/2021,64508.29484,65089.45065,64307.12553,65055.92243,97200,100615,2103
8/2/2021,65301.79605,65972.36044,64955.33777,65704.13468,102902,93985,2103
9/2/2021,65704.13468,66743.5095,65692.95861,66575.8684,91536,90464,2103
10/2/2021,66620.57269,67984.05363,66408.2273,67950.52541,117134,83408,2103
18/2/2021,69090.48488,70733.36765,68844.61127,70643.95906,80289,80691,2103
19/2/2021,70901.00875,71895.67927,70286.32472,71716.8621,106671,68887,2103
